participant_id,task_number,Task_difficulty,Priority_Low_High,Expertise_Expert_Novice,is_accepted
101,T1,7,high,senior,1
101,T2,7,low,senior,0
101,T3,7,low,junior,1
101,T4,7,high,junior,0
101,T5,7,low,senior,1
101,T6,7,high,junior,1
102,T1,6,high,junior,1
102,T2,6,high,junior,1
102,T3,6,low,junior,1
102,T4,6,high,junior,0
102,T5,6,high,senior,0
102,T6,6,low,senior,1
103,T1,2,low,junior,0
103,T2,2,low,junior,0
103,T3,2,high,senior,0
103,T4,2,low,senior,0
103,T5,2,high,senior,0
103,T6,2,low,junior,0
104,T1,4,high,junior,0
104,T2,4,low,senior,1
104,T3,4,low,senior,1
104,T4,4,high,junior,0
104,T5,4,high,junior,0
104,T6,4,low,senior,0
105,T1,5,low,junior,0
105,T2,5,high,senior,0
105,T3,5,high,junior,0
105,T4,5,low,senior,0
105,T5,5,high,junior,0
105,T6,5,low,senior,1
106,T1,7,high,junior,1
106,T2,7,low,senior,0
106,T3,7,high,senior,0
106,T4,7,low,junior,1
106,T5,7,high,senior,0
106,T6,7,high,senior,1
107,T1,6,high,junior,1
107,T2,6,low,senior,0
107,T3,6,low,junior,0
107,T4,6,low,senior,0
107,T5,6,high,senior,1
107,T6,6,high,junior,0
108,T1,5,high,senior,1
108,T2,5,low,senior,0
108,T3,5,low,senior,1
108,T4,5,high,junior,1
108,T5,5,high,junior,0
108,T6,5,low,junior,1
109,T1,8,low,junior,1
109,T2,8,high,senior,0
109,T3,8,high,senior,0
109,T4,8,low,senior,0
109,T5,8,low,junior,1
109,T6,8,high,junior,1
110,T1,3,high,junior,1
110,T2,3,high,senior,0
110,T3,3,low,junior,1
110,T4,3,low,senior,1
110,T5,3,low,junior,0
110,T6,3,high,senior,1
111,T1,4,high,senior,1
111,T2,4,high,senior,0
111,T3,4,low,junior,0
111,T4,4,low,junior,0
111,T5,4,high,junior,1
111,T6,4,low,senior,1
112,T1,8,high,junior,0
112,T2,8,high,junior,0
112,T3,8,low,senior,0
112,T4,8,low,senior,0
112,T5,8,high,junior,1
112,T6,8,low,senior,1
113,T1,4,low,senior,1
113,T2,4,high,senior,1
113,T3,4,low,junior,0
113,T4,4,low,junior,0
113,T5,4,high,junior,1
113,T6,4,high,senior,1
114,T1,3,high,junior,0
114,T2,3,low,senior,1
114,T3,3,high,junior,1
114,T4,3,low,senior,1
114,T5,3,low,senior,0
114,T6,3,high,junior,1
115,T1,6,high,junior,1
115,T2,6,low,senior,0
115,T3,6,high,senior,1
115,T4,6,high,junior,1
115,T5,6,high,senior,0
115,T6,6,low,senior,1
116,T1,3,low,junior,1
116,T2,3,low,junior,0
116,T3,3,high,junior,0
116,T4,3,high,senior,1
116,T5,3,high,senior,1
116,T6,3,low,senior,0
117,T1,6,low,senior,1
117,T2,6,low,junior,0
117,T3,6,high,senior,1
117,T4,6,high,junior,1
117,T5,6,high,junior,0
117,T6,6,low,senior,0
118,T1,6,low,junior,1
118,T2,6,high,senior,1
118,T3,6,high,junior,0
118,T4,6,low,senior,0
118,T5,6,low,junior,0
118,T6,6,high,senior,1
119,T1,3,high,senior,0
119,T2,3,high,senior,1
119,T3,3,low,junior,1
119,T4,3,low,senior,0
119,T5,3,high,junior,0
119,T6,3,low,junior,1
120,T1,3,low,senior,1
120,T2,3,high,senior,0
120,T3,3,high,senior,1
120,T4,3,low,junior,1
120,T5,3,low,junior,1
120,T6,3,high,junior,1
121,T1,4,high,senior,1
121,T2,4,low,junior,0
121,T3,4,low,junior,1
121,T4,4,low,senior,0
121,T5,4,high,senior,0
121,T6,4,high,junior,0
122,T1,5,high,senior,1
122,T2,5,high,senior,0
122,T3,5,low,junior,1
122,T4,5,low,senior,1
122,T5,5,low,junior,1
122,T6,5,high,junior,1
123,T1,7,high,junior,0
123,T2,7,low,senior,1
123,T3,7,high,junior,1
123,T4,7,low,senior,0
123,T5,7,low,junior,0
123,T6,7,high,senior,0
124,T1,6,high,senior,0
124,T2,6,high,junior,1
124,T3,6,low,senior,1
124,T4,6,high,junior,1
124,T5,6,low,senior,0
124,T6,6,low,junior,0
125,T1,3,high,junior,1
125,T2,3,high,junior,1
125,T3,3,low,senior,1
125,T4,3,high,senior,0
125,T5,3,low,senior,0
125,T6,3,low,junior,0
126,T1,6,high,senior,1
126,T2,6,high,senior,1
126,T3,6,low,junior,0
126,T4,6,low,junior,0
126,T5,6,high,senior,1
126,T6,6,low,junior,1
127,T1,7,low,senior,1
127,T2,7,high,senior,0
127,T3,7,high,junior,1
127,T4,7,high,senior,0
127,T5,7,low,senior,1
127,T6,7,low,junior,1
129,T1,3,low,junior,1
129,T2,3,high,senior,1
129,T3,3,low,junior,0
129,T4,3,high,junior,1
129,T5,3,low,senior,1
129,T6,3,high,senior,0
130,T1,4,low,senior,0
130,T2,4,low,junior,0
130,T3,4,low,senior,1
130,T4,4,high,senior,0
130,T5,4,high,junior,1
130,T6,4,high,junior,0
131,T1,4,low,senior,1
131,T2,4,high,senior,0
131,T3,4,low,junior,1
131,T4,4,low,junior,0
131,T5,4,high,senior,1
131,T6,4,high,junior,0
132,T1,3,low,junior,0
132,T2,3,low,junior,1
132,T3,3,high,senior,1
132,T4,3,high,junior,1
132,T5,3,high,senior,1
132,T6,3,low,senior,1
133,T1,4,high,senior,0
133,T2,4,high,junior,1
133,T3,4,high,senior,1
133,T4,4,low,junior,0
133,T5,4,low,junior,0
133,T6,4,low,senior,1
135,T1,6,high,senior,1
135,T2,6,high,senior,1
135,T3,6,low,junior,0
135,T4,6,low,senior,1
135,T5,6,low,senior,0
135,T6,6,high,junior,1
136,T1,5,high,senior,1
136,T2,5,high,senior,0
136,T3,5,low,senior,0
136,T4,5,low,junior,1
136,T5,5,low,junior,0
136,T6,5,high,junior,0
137,T1,7,high,junior,1
137,T2,7,low,senior,0
137,T3,7,high,junior,0
137,T4,7,low,senior,0
137,T5,7,low,junior,1
137,T6,7,high,senior,1
139,T1,7,low,junior,1
139,T2,7,high,junior,1
139,T3,7,high,senior,1
139,T4,7,high,senior,0
139,T5,7,low,junior,0
139,T6,7,low,senior,1
140,T1,4,high,senior,0
140,T2,4,low,senior,1
140,T3,4,low,junior,1
140,T4,4,high,senior,0
140,T5,4,high,junior,1
140,T6,4,low,junior,1